movieId,release_year,type,score,platform
as1,2014,movie,5.0,amazon
as2,2018,movie,3.0,amazon
as3,2017,movie,5.0,amazon
as4,2014,movie,1.5,amazon
as5,1989,movie,5.0,amazon
as6,1989,movie,5.0,amazon
as7,2017,movie,5.0,amazon
as8,2016,movie,4.0,amazon
as9,2017,movie,2.5,amazon
as10,1994,movie,4.0,amazon
as11,2016,movie,2.5,amazon
as12,2014,movie,3.5,amazon
as13,2018,movie,4.0,amazon
as14,2020,movie,2.5,amazon
as15,2018,movie,4.0,amazon
as16,2019,movie,5.0,amazon
as17,2016,movie,5.0,amazon
as18,2008,tv show,3.0,amazon
as19,2020,tv show,3.5,amazon
as20,2018,movie,5.0,amazon
as21,2001,tv show,5.0,amazon
as22,2020,tv show,3.0,amazon
as23,1941,movie,4.0,amazon
as24,2020,tv show,3.0,amazon
as25,1991,movie,5.0,amazon
as26,2005,movie,1.0,amazon
as27,2020,tv show,2.5,amazon
as28,2017,tv show,4.0,amazon
as29,2015,tv show,4.0,amazon
as30,2018,tv show,4.5,amazon
as31,2011,tv show,3.0,amazon
as32,2013,tv show,4.0,amazon
as33,1949,movie,3.0,amazon
as34,2007,movie,3.0,amazon
as35,2007,movie,4.0,amazon
as36,2002,tv show,4.0,amazon
as37,2015,movie,1.5,amazon
as38,2017,movie,4.0,amazon
as39,2016,movie,2.0,amazon
as40,2014,movie,2.0,amazon
as41,2016,movie,4.0,amazon
as42,2014,movie,4.0,amazon
as43,2018,tv show,4.5,amazon
as44,2014,movie,3.5,amazon
as45,2014,movie,4.5,amazon
as46,2014,movie,3.5,amazon
as47,2014,movie,3.0,amazon
as48,2016,movie,2.5,amazon
as49,2016,movie,3.5,amazon
as50,2016,movie,4.0,amazon
as51,2016,movie,4.0,amazon
as52,2019,movie,3.0,amazon
as53,1955,movie,3.0,amazon
as54,2020,tv show,2.5,amazon
as55,2019,movie,3.5,amazon
as56,2019,movie,4.0,amazon
as57,1959,tv show,3.5,amazon
as58,2017,tv show,4.0,amazon
as59,2015,tv show,5.0,amazon
as60,2001,movie,4.5,amazon
as61,1983,movie,3.5,amazon
as62,2009,tv show,2.5,amazon
as63,2008,movie,2.0,amazon
as64,2015,tv show,4.5,amazon
as65,2009,tv show,5.0,amazon
as66,2018,tv show,3.5,amazon
as67,2020,tv show,5.0,amazon
as68,1994,tv show,3.0,amazon
as69,2012,movie,3.0,amazon
as70,2020,tv show,5.0,amazon
as71,2007,movie,3.5,amazon
as72,2014,tv show,4.0,amazon
as73,2007,tv show,3.0,amazon
as74,2020,movie,4.0,amazon
as75,2010,tv show,4.0,amazon
as76,2018,tv show,3.0,amazon
as77,2019,movie,4.0,amazon
as78,2019,movie,3.5,amazon
as79,2015,tv show,2.0,amazon
as80,1986,movie,2.0,amazon
as81,1994,movie,3.0,amazon
as82,2017,movie,4.5,amazon
as83,1988,movie,4.0,amazon
as84,1920,movie,3.0,amazon
as85,2019,tv show,3.5,amazon
as86,2018,tv show,3.0,amazon
as87,2011,tv show,5.0,amazon
as88,2009,tv show,1.5,amazon
as89,1936,movie,3.5,amazon
as90,1936,movie,5.0,amazon
as91,1992,movie,4.5,amazon
as92,2015,movie,4.0,amazon
as93,2019,movie,3.5,amazon
as94,2019,movie,3.5,amazon
as95,2019,movie,5.0,amazon
as96,2011,movie,1.5,amazon
as97,2021,movie,2.5,amazon
as98,2002,movie,4.0,amazon
as99,2019,tv show,2.0,amazon
as100,1993,movie,2.0,amazon
as101,2014,tv show,4.5,amazon
as102,2011,tv show,4.0,amazon
as103,2012,movie,3.5,amazon
as104,2016,movie,5.0,amazon
as105,2011,tv show,3.0,amazon
as106,2006,movie,4.0,amazon
as107,2008,tv show,4.0,amazon
as108,2018,movie,5.0,amazon
as109,2016,movie,3.0,amazon
as110,2018,movie,4.0,amazon
as111,1948,movie,5.0,amazon
as112,2010,movie,2.0,amazon
as113,2013,tv show,3.0,amazon
as114,2021,movie,4.0,amazon
